,date,user_id,username,name,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,Unnamed: 0.1,token,n_frasi,n_parole_uniche,n_lettere ,n_media_parole,word_f,compound,neg,neu,pos,sentimenti
0,2022-04-27,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,newsweek depp testimony damning sorry chose drag slim yet court cruel imo unflattering publicity time grow steve 🙄,[],1,0,1, deppvsheard amberheardputupwithalot growupdepp ,"[{'screen_name': 'Newsweek', 'name': 'Newsweek', 'id': '2884771'}]",,"['newsweek', 'depp', 'testimony', 'damning', 'sorry', 'chose', 'drag', 'slim', 'yet', 'court', 'cruel', 'imo', 'unflattering', 'publicity', 'time', 'grow', 'steve', '🙄']",1,18,114,5.388888888888889,,-0.8126,0.42,0.58,0.0,NEUTRALE
1,2022-05-07,26282046,hlntv,HLN,hln legal analyst joeyjacksonesq say call testimony performance looking fact think stating large measure largely corroborated seen,"[{'screen_name': 'joeyjacksonesq', 'name': 'joey jackson, esq.', 'id': '430397794'}]",5,3,18, amberheard deppvsheard ,[],,"['hln', 'legal', 'analyst', 'joeyjacksonesq', 'say', 'call', 'testimony', 'performance', 'looking', 'fact', 'think', 'stating', 'large', 'measure', 'largely', 'corroborated', 'seen']",1,17,130,6.705882352941177,,0.128,0.0,0.914,0.086,NEUTRALE
2,2022-05-08,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,sunstroke house msg amber speak appears violence abuse side knew lying,[],1,0,1, deppvsheard amberheard johnnydeppisnosaint ,"[{'screen_name': 'sunstroke_house', 'name': 'Stephen Deuters', 'id': '452522315'}]",,"['sunstroke', 'house', 'msg', 'amber', 'speak', 'appears', 'violence', 'abuse', 'side', 'knew', 'lying']",1,11,70,5.454545454545454,amber,-0.9136,0.594,0.406,0.0,NEUTRALE
3,2022-05-08,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,sunstroke house wanted fair trial testified abuse appears way street marriage read tweet,[],1,0,7, deppvsheard ,"[{'screen_name': 'sunstroke_house', 'name': 'Stephen Deuters', 'id': '452522315'}]",,"['sunstroke', 'house', 'wanted', 'fair', 'trial', 'testified', 'abuse', 'appears', 'way', 'street', 'marriage', 'read', 'tweet']",1,13,88,5.846153846153846,,-0.4404,0.24,0.629,0.131,NEUTRALE
4,2022-05-08,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,earthglows total silliness doubt violent flew window ty tweet receipt ⚖️,[],1,0,9, depp deppvsheard johnnydeppvsamberheard johnnydeppisanabuser ,"[{'screen_name': 'EarthGlows', 'name': 'Courtney\U0001fab7', 'id': '16586873'}, {'screen_name': 'total_silliness', 'name': 'Katie', 'id': '47495880'}]",,"['earthglows', 'total', 'silliness', 'doubt', 'violent', 'flew', 'window', 'ty', 'tweet', 'receipt', '⚖️']",1,11,72,5.636363636363637,,-0.6908,0.464,0.391,0.145,NEGATIVO
5,2022-05-12,1522685939616817153,castanzageorgie,GeorgieCastanza,proof entire fictitious abuse story amber heard mere extortion johnny spoke,[],0,0,0, amberheardisapsychopath amberheard deppvsheard ,[],,"['proof', 'entire', 'fictitious', 'abuse', 'story', 'amber', 'heard', 'mere', 'extortion', 'johnny', 'spoke']",1,11,75,5.909090909090909,amber,-0.6369,0.296,0.704,0.0,NEGATIVO
6,2022-05-13,465116524,matthewtmangino,Matthew T. Mangino,tune right lawcrimenetwork discus michel bryant thelegaledg murder trial prepare return next wee,"[{'screen_name': 'lawcrimenetwork', 'name': 'law&crime network', 'id': '2395421815'}]",0,0,3, ryanduke grinstead deppvsheard deppheardtrial ,[],,"['tune', 'right', 'lawcrimenetwork', 'discus', 'michel', 'bryant', 'thelegaledg', 'murder', 'trial', 'prepare', 'return', 'next', 'wee']",1,13,96,6.461538461538462,,-0.6908,0.281,0.719,0.0,POSITIVO
7,2022-05-16,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,claracluck jakeyarnett bostonian drproudman abuser alcoholic however defer expert men alcohol problem six time likely abuse partner depp settle million w ex french extortionist c nt hmm,[],3,0,0, deppvsheard amberheard ,"[{'screen_name': 'claracluck33', 'name': 'Clara Cluck - 3️⃣ is the magic number', 'id': '830355534771523585'}, {'screen_name': 'JakeyArnett666', 'name': 'Jakester 🏳️\u200d🌈🏳️\u200d⚧️🇺🇦', 'id': '1083769477903331328'}, {'screen_name': 'Bostonian7019', 'name': 'The Bostonian', 'id': '1510664914112856072'}, {'screen_name': 'DrProudman', 'name': 'Dr Charlotte Proudman', 'id': '1095830668574162944'}]",,"['claracluck', 'jakeyarnett', 'bostonian', 'drproudman', 'abuser', 'alcoholic', 'however', 'defer', 'expert', 'men', 'alcohol', 'problem', 'six', 'time', 'likely', 'abuse', 'partner', 'depp', 'settle', 'million', 'w', 'ex', 'french', 'extortionist', 'c', 'nt', 'hmm']",1,27,185,5.888888888888889,,-0.9136,0.377,0.623,0.0,NEGATIVO
8,2022-05-16,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,whatsthecraic shashim bostonian drproudman villain story course going head butting incident accident never deny head butting admitted court restraining head butting ok hr security ffs,[],2,0,0, deppvsheard ,"[{'screen_name': 'whatsthecraic1', 'name': ""what's the craic?"", 'id': '624022066'}, {'screen_name': 'shashim260', 'name': 'Sarah', 'id': '1266039530773192705'}, {'screen_name': 'Bostonian7019', 'name': 'The Bostonian', 'id': '1510664914112856072'}, {'screen_name': 'DrProudman', 'name': 'Dr Charlotte Proudman', 'id': '1095830668574162944'}]",,"['whatsthecraic', 'shashim', 'bostonian', 'drproudman', 'villain', 'story', 'course', 'going', 'head', 'butting', 'incident', 'accident', 'never', 'deny', 'head', 'butting', 'admitted', 'court', 'restraining', 'head', 'butting', 'ok', 'hr', 'security', 'ffs']",1,21,183,6.36,,-0.6667,0.287,0.493,0.22,NEGATIVO
9,2022-05-15,1376149476684001284,joflohoosier,Jo🇺🇸🇺🇦🇪🇺#OneUnitedFreeUkraine,link judgement uk libel trial depp v sun anyone interested case interesting info,[],0,0,0, deppvsheard amberheard domesticviolenceisneverok ,[],,"['link', 'judgement', 'uk', 'libel', 'trial', 'depp', 'v', 'sun', 'anyone', 'interested', 'case', 'interesting', 'info']",1,13,80,5.230769230769231,,0.6597,0.0,0.649,0.351,POSITIVO
