,date,user_id,username,name,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,Unnamed: 0.1,token,n_frasi,n_parole_uniche,n_lettere ,n_media_parole,word_f,compound,neg,neu,pos,sentimenti
0,2022-05-20,1138416104,farrisflagg,Farris Flagg,brijh justdoodirty momofpgh thesistahchick chrissysblog luvwinsresist glamorkt rettypetty liveonthechat jimmiemckinnon clady tclarkusa sunny abc danabrams yes come long way jump street thecrew,[],1,0,3, johnnydepp theview we thecrew johnnydeppamberheardtrial justiceforjohnnydeep ,"[{'screen_name': 'brijh', 'name': '#BrittFit50🧢 #BIWOP #Advocacy #Equity #Inclusion', 'id': '21710493'}, {'screen_name': 'justdoodirty3', 'name': 'justdoodirty2', 'id': '1348812771920650241'}, {'screen_name': 'MomOf3Pgh', 'name': 'They Call Me Mom❤ 🌊', 'id': '87434157'}, {'screen_name': 'TheSistahChick', 'name': 'The SistahChick', 'id': '54330284'}, {'screen_name': 'ChrissysBlog', 'name': 'Chrissy Pizza Connoisseur 💙 🌊', 'id': '2832086105'}, {'screen_name': 'luvwinsresist', 'name': 'Phenomenally Black 💃🏾🦋🌺♈️', 'id': '743560512504397824'}, {'screen_name': 'Glamor14kt', 'name': ""K' Rene'e Leaks Dillard"", 'id': '100380931'}, {'screen_name': 'iamprettypetty', 'name': 'Pepperment Petty-Authentically Black, fully vaxxed', 'id': '823411428413599746'}, {'screen_name': 'LiveOnTheChat', 'name': 'The Chat \uea00', 'id': '713799110327820288'}, {'screen_name': 'JimmieMckinnon', 'name': 'jimmie mckinnon 🇺🇸🇳🇬 Apple\uf8ff', 'id': '969135015442501632'}, {'screen_name': 'CLady62', 'name': 'ClassyLady62', 'id': '775705831887077376'}, {'screen_name': 'TClarkUSA', 'name': 'TClarkUSA 🎶🥰', 'id': '30283530'}, {'screen_name': 'sunny', 'name': 'Sunny Hostin', 'id': '139847909'}, {'screen_name': 'ABC', 'name': 'ABC News', 'id': '28785486'}, {'screen_name': 'danabrams', 'name': 'Dan Abrams', 'id': '21023681'}]",,"['brijh', 'justdoodirty', 'momofpgh', 'thesistahchick', 'chrissysblog', 'luvwinsresist', 'glamorkt', 'rettypetty', 'liveonthechat', 'jimmiemckinnon', 'clady', 'tclarkusa', 'sunny', 'abc', 'danabrams', 'yes', 'come', 'long', 'way', 'jump', 'street', 'thecrew']",1,22,192,7.772727272727272,,0.6705,0.0,0.784,0.216,NEUTRALE
1,2022-05-20,1348812771920650241,justdoodirty3,justdoodirty2,thesistahchick momofpgh farrisflagg brijh chrissysblog luvwinsresist glamorkt rettypetty liveonthechat jimmiemckinnon clady tclarkusa sunny abc danabrams far sexism american 🇺🇸…,[],1,0,3, theview johnnydeppamberheardtrial ,"[{'screen_name': 'TheSistahChick', 'name': 'The SistahChick', 'id': '54330284'}, {'screen_name': 'MomOf3Pgh', 'name': 'They Call Me Mom❤ 🌊', 'id': '87434157'}, {'screen_name': 'FarrisFlagg', 'name': 'Farris Flagg', 'id': '1138416104'}, {'screen_name': 'brijh', 'name': '#BrittFit50🧢 #BIWOP #Advocacy #Equity #Inclusion', 'id': '21710493'}, {'screen_name': 'ChrissysBlog', 'name': 'Chrissy Pizza Connoisseur 💙 🌊', 'id': '2832086105'}, {'screen_name': 'luvwinsresist', 'name': 'Phenomenally Black 💃🏾🦋🌺♈️', 'id': '743560512504397824'}, {'screen_name': 'Glamor14kt', 'name': ""K' Rene'e Leaks Dillard"", 'id': '100380931'}, {'screen_name': 'iamprettypetty', 'name': 'Pepperment Petty-Authentically Black, fully vaxxed', 'id': '823411428413599746'}, {'screen_name': 'LiveOnTheChat', 'name': 'The Chat \uea00', 'id': '713799110327820288'}, {'screen_name': 'JimmieMckinnon', 'name': 'jimmie mckinnon 🇺🇸🇳🇬 Apple\uf8ff', 'id': '969135015442501632'}, {'screen_name': 'CLady62', 'name': 'ClassyLady62', 'id': '775705831887077376'}, {'screen_name': 'TClarkUSA', 'name': 'TClarkUSA 🎶🥰', 'id': '30283530'}, {'screen_name': 'sunny', 'name': 'Sunny Hostin', 'id': '139847909'}, {'screen_name': 'ABC', 'name': 'ABC News', 'id': '28785486'}, {'screen_name': 'danabrams', 'name': 'Dan Abrams', 'id': '21023681'}]",,"['thesistahchick', 'momofpgh', 'farrisflagg', 'brijh', 'chrissysblog', 'luvwinsresist', 'glamorkt', 'rettypetty', 'liveonthechat', 'jimmiemckinnon', 'clady', 'tclarkusa', 'sunny', 'abc', 'danabrams', 'far', 'sexism', 'american', '🇺🇸…']",1,19,177,8.368421052631579,,0.4215,0.0,0.865,0.135,NEUTRALE
2,2022-05-20,1348812771920650241,justdoodirty3,justdoodirty2,following either … care,[],0,0,2, johnnydeppamberheardtrial theview ,[],,"['following', 'either', '…', 'care']",1,4,23,5.0,,0.4939,0.0,0.385,0.615,NEUTRALE
