,date,user_id,username,name,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,Unnamed: 0.1,token,n_frasi,n_parole_uniche,n_lettere ,n_media_parole,word_f,compound,neg,neu,pos,sentimenti
862,2022-05-25,1503953058962702336,nectarpeppervt,𓁹ꪀꫀᥴ𝕥ꪖ𝕣𓁹,confirmed waiting tmz ex producer 🤞🏾 theemilydbaker,"[{'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",0,0,3, johnnydepp katemoss abusehasnogender johnnydeppamberheardtrial lawnerds ,[],,"['confirmed', 'waiting', 'tmz', 'ex', 'producer', '🤞🏾', 'theemilydbaker']",1,7,51,6.428571428571429,,0.0,0.0,1.0,0.0,POSITIVO
863,2022-05-25,1465823853310001157,shellbell123r,Shellbell123 Reid,composed hostile,[],0,0,2, amberheardlsaliar amberheard johnnydeppamberheardtrial ,[],,"['composed', 'hostile']",1,2,16,7.5,,-0.3818,0.722,0.278,0.0,NEGATIVO
864,2022-05-26,1512621949209366532,justagirl043,JustAGirl,ounce makeup amber face,[],0,0,0, johnnydeppamberheardtrial justiceforjohnnydeep amberheardlsanabuser amberheardlsaliar amberheardisapsychopath amberhearddeservesprison ,[],,"['ounce', 'makeup', 'amber', 'face']",1,4,23,5.0,amber,0.0,0.0,1.0,0.0,POSITIVO
865,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,think regretting putting back love attention go back,[],1,0,13, johnnydeppamberheardtrial johnnydeppvsamberheard justiceforjohnnydepp ,[],,"['think', 'regretting', 'putting', 'back', 'love', 'attention', 'go', 'back']",1,7,52,5.625,,0.3612,0.209,0.465,0.326,POSITIVO
866,2022-05-26,1465823853310001157,shellbell123r,Shellbell123 Reid,agree threat violence child ok rotten person p still cry fake,[],0,1,6, amberheardlsaliar amberheardisanabuser johnnydeppamberheardtrial johnnydepp ,[],,"['agree', 'threat', 'violence', 'child', 'ok', 'rotten', 'person', 'p', 'still', 'cry', 'fake']",1,11,61,4.636363636363637,,-0.9231,0.688,0.121,0.19,NEUTRALE
867,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,whitney look rather anywhere,[],0,0,5, johnnydeppvsamberheard johnnydeppamberheardtrial ,[],,"['whitney', 'look', 'rather', 'anywhere']",1,4,28,6.25,,0.0,0.0,1.0,0.0,NEUTRALE
868,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,amber heard try hard never tear heard testimony struggle cry acting,[],0,1,2, johnnydeppamberheardtrial johnnydeppvsamberheard deppvheard ,[],,"['amber', 'heard', 'try', 'hard', 'never', 'tear', 'heard', 'testimony', 'struggle', 'cry', 'acting']",1,10,67,5.181818181818182,amber,-0.7003,0.459,0.541,0.0,NEUTRALE
869,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,thought dr hughes mistake amber heard biggest mistake make,[],0,2,11, johnnydeppvsamberheard johnnydeppamberheardtrial deppvsheard ,[],,"['thought', 'dr', 'hughes', 'mistake', 'amber', 'heard', 'biggest', 'mistake', 'make']",1,8,58,5.555555555555555,amber,-0.5859,0.407,0.593,0.0,POSITIVO
870,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,surprised brought back dr hughes though amber heard aggressive,[],1,4,21, johnnydeppisinnocent johnnydeppamberheardtrial johnnydeppvsamberheard deppvheard ,[],,"['surprised', 'brought', 'back', 'dr', 'hughes', 'though', 'amber', 'heard', 'aggressive']",1,9,62,6.0,amber,0.0772,0.152,0.667,0.181,NEGATIVO
871,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,reel fuck dennison,[],0,0,11, johnnydeppvsamberheard deppheard johnnydeppamberheardtrial ,[],,"['reel', 'fuck', 'dennison']",1,3,18,5.333333333333333,,-0.5423,0.636,0.364,0.0,NEGATIVO
872,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,tell almost last day instruction manual brought evidence,[],0,1,4, johnnydeppisinnocent johnnydeppvsamberheardtrial johnnydeppamberheardtrial deppvheardtrial ,[],,"['tell', 'almost', 'last', 'day', 'instruction', 'manual', 'brought', 'evidence']",1,8,56,6.125,,0.0,0.0,1.0,0.0,NEGATIVO
873,2022-05-26,978434173819064320,barbaraem77,Bunny Babs,penchant rambling adding lot anything testifies go direct fair game cross guess open door quite bit able help,[],0,0,0, amberheard deppvsheard depptrial johnnydeppamberheardtrial ,[],,"['penchant', 'rambling', 'adding', 'lot', 'anything', 'testifies', 'go', 'direct', 'fair', 'game', 'cross', 'guess', 'open', 'door', 'quite', 'bit', 'able', 'help']",1,18,109,5.111111111111111,,0.6444,0.0,0.752,0.248,NEGATIVO
874,2022-05-26,1512621949209366532,justagirl043,JustAGirl,face abuser realamberheard always remembered though way wanting remembered woman johnny heart instead loving beat,"[{'screen_name': 'realamberheard', 'name': 'amber heard', 'id': '807003567605227520'}]",0,2,5, johnnydeppamberheardtrial justiceforjohnnydeep ,[],,"['face', 'abuser', 'realamberheard', 'always', 'remembered', 'though', 'way', 'wanting', 'remembered', 'woman', 'johnny', 'heart', 'instead', 'loving', 'beat']",1,14,113,6.6,johnny,0.0772,0.176,0.634,0.19,POSITIVO
875,2022-05-26,1465823853310001157,shellbell123r,Shellbell123 Reid,googled mollusk clarification johnny right message elonmusk mollusk,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",0,0,1, johnnydeppvsamberheard johnnydeppamberheardtrial amberheardlsaliar amberturd ,[],,"['googled', 'mollusk', 'clarification', 'johnny', 'right', 'message', 'elonmusk', 'mollusk']",1,7,67,7.5,johnny,0.0,0.0,1.0,0.0,POSITIVO
876,2022-05-26,1465823853310001157,shellbell123r,Shellbell123 Reid,thinking 🐍 good,[],1,1,10, amberheardlsaliar amberturd johnnydeppamberheardtrial johnnydepp amberheardisanabuser ,[],,"['thinking', '🐍', 'good']",1,3,15,4.333333333333333,,0.4404,0.0,0.256,0.744,NEGATIVO
